Département,Revenu
Paris,3 396
Hauts-de-Seine,3 287
Yvelines,3 107
Haute-Savoie,2 686
Essonne,2 485
Val-de-Marne,2 387
Ain,2 342
Rhône,2 317
Seine-et-Marne,2 308
Haut-Rhin,2 279
Val-d'Oise,2 239
Haute-Garonne,2 201
Alpes-Maritimes,2 186
Bas-Rhin,2 181
Isère,2 157
Loire-Atlantique,2 145
Savoie,2 138
Marne,2 126
Côte-d'Or,2 099
Loiret,2 097
Ille-et-Vilaine,2 095
Oise,2 094
Doubs,2 090
Eure-et-Loir,2 084
Gironde,2 078
Var,2 046
Indre-et-Loire,2 040
Territoire de Belfort,2 039
Bouches-du-Rhône,2 033
Pyrénées-Atlantiques,2 029
Eure,1 999
Calvados,1 986
Moselle,1 981
Meurthe-et-Moselle,1 981
Loir-et-Cher,1 972
Puy-de-Dôme,1 958
Finistère,1 955
Morbihan,1 954
Maine-et-Loire,1 954
Seine-Maritime,1 948
Jura,1 936
Vendée,1 924
Aube,1 921
Drôme,1 912
Landes,1 904
Charente-Maritime,1 900
Sarthe,1 900
Côtes-d'Armor,1 898
Vienne,1 895
Corse-du-Sud,1 892
Loire,1 887
Mayenne,1 886
Saône-et-Loire,1 882
Hérault,1 877
Hautes-Alpes,1 874
Yonne,1 867
Nord,1 866
Deux-Sèvres,1 858
Haute-Vienne,1 856
Cher,1 840
Manche,1 840
Somme,1 830
Vaucluse,1 827
Corrèze,1 820
Alpes-de-Haute-Provence,1 819
Tarn,1 806
Gard,1 806
Charente,1 803
Ardèche,1 794
Lot,1 792
Aveyron,1 788
Haute-Saône,1 779
Haute-Loire,1 763
Vosges,1 763
Meuse,1 762
Gers,1 756
Aisne,1 754
Hautes-Pyrénées,1 753
Lot-et-Garonne,1 750
Orne,1 749
Tarn-et-Garonne,1 743
Seine-Saint-Denis,1 743
Allier,1 740
Haute-Marne,1 738
Ardennes,1 723
Indre,1 719
Haute-Corse,1 717
Nièvre,1 717
Pyrénées-Orientales,1 711
Lozère,1 709
Pas-de-Calais,1 708
Cantal,1 706
Dordogne,1 704
Aude,1 655
Ariège,1 649
Creuse,1 546
Guyane,1 460
Martinique,1 429
La Réunion,1 409
Guadeloupe,1 323
